line_no,row_kind,source_table,datadiscriminator,asset_category,currency,symbol,date_time,quantity,t_price,proceeds,comm_fee,basis,realized_p_l,code,notional_value,comm_in_usd,field_10,field_11
195,Data,trades__01,Order,Equity and Index Options,USD,PDD 15AUG25 185 C,"2025-02-21, 15:55:05",-1,5.8,580,-0.824164,-579.175836,0,O,,,,
196,Data,trades__01,Order,Equity and Index Options,USD,PDD 15AUG25 185 C,"2025-02-24, 15:15:46",1,3.27,-327,-1.05525,579.175836,251.120586,C,,,,
197,SubTotal,trades__01,,Equity and Index Options,USD,PDD 15AUG25 185 C,,0,,253,-1.879414,0,251.120586,,,,,
198,Data,trades__01,Order,Equity and Index Options,USD,PDD 16JAN26 110 C,"2025-02-14, 12:41:27",1,34.1,-3410,-0.80525,3410.80525,0,O,,,,
199,Data,trades__01,Order,Equity and Index Options,USD,PDD 16JAN26 110 C,"2025-02-14, 12:42:17",1,34.1,-3410,-0.80525,3410.80525,0,O,,,,
200,Data,trades__01,Order,Equity and Index Options,USD,PDD 16JAN26 110 C,"2025-04-07, 10:33:27",-1,17.29,1729,-0.8481062,-3410.80525,-1682.653356,C,,,,
201,Data,trades__01,Order,Equity and Index Options,USD,PDD 16JAN26 110 C,"2025-04-08, 13:37:51",-1,13.1,1310,-0.846458,-3410.80525,-2101.651708,C,,,,
202,SubTotal,trades__01,,Equity and Index Options,USD,PDD 16JAN26 110 C,,0,,-3781,-3.3050642,0,-3784.305064,,,,,
203,Data,trades__01,Order,Equity and Index Options,USD,PDD 16JAN26 60 P,"2025-02-26, 11:27:17",4,1.65,-660,-2.781,662.781,0,O,,,,
204,Data,trades__01,Order,Equity and Index Options,USD,PDD 16JAN26 60 P,"2025-04-08, 13:40:34",-4,4.3,1720,-1.887976,-662.781,1055.331024,C,,,,
205,SubTotal,trades__01,,Equity and Index Options,USD,PDD 16JAN26 60 P,,0,,1060,-4.668976,0,1055.331024,,,,,
206,Data,trades__01,Order,Equity and Index Options,USD,PDD 16JAN26 110 P,"2025-02-26, 09:45:43",-2,14.6,2920,-1.477256,-2918.522744,0,O,,,,
207,Data,trades__01,Order,Equity and Index Options,USD,PDD 16JAN26 110 P,"2025-02-26, 11:40:15",2,14.75,-2950,-0.9105,2918.522744,-32.387756,C,,,,
208,Data,trades__01,Order,Equity and Index Options,USD,PDD 16JAN26 110 P,"2025-02-26, 11:48:12",-1,14.65,1465,-1.088767,-1463.911233,16.193878,O,,,,
209,Data,trades__01,Order,Equity and Index Options,USD,PDD 16JAN26 110 P,"2025-02-28, 13:02:13",1,17.79,-1779,-1.05525,1447.717355,-332.337895,C,,,,
210,SubTotal,trades__01,,Equity and Index Options,USD,PDD 16JAN26 110 P,,0,,-344,-4.531773,-16.193878,-348.531773,,,,,
211,Data,trades__01,Order,Equity and Index Options,USD,PLTR 17APR25 80 P,"2025-02-24, 10:06:40",-2,4.9,980,-0.943324,-979.056676,0,O,,,,
212,Data,trades__01,Order,Equity and Index Options,USD,PLTR 17APR25 80 P,"2025-03-21, 10:04:51",2,3.355,-671,-1.4183,979.056676,306.638376,C;P,,,,
213,SubTotal,trades__01,,Equity and Index Options,USD,PLTR 17APR25 80 P,,0,,309,-2.361624,0,306.638376,,,,,
214,Data,trades__01,Order,Equity and Index Options,USD,PLTR 17APR25 90 P,"2025-02-21, 14:33:49",2,4.9,-980,-1.4105,981.4105,0,O;P,,,,
215,Data,trades__01,Order,Equity and Index Options,USD,PLTR 17APR25 90 P,"2025-03-21, 10:04:12",-2,7.7,1540,-0.961692,-981.4105,557.627808,C,,,,
216,SubTotal,trades__01,,Equity and Index Options,USD,PLTR 17APR25 90 P,,0,,560,-2.372192,0,557.627808,,,,,
217,Data,trades__01,Order,Equity and Index Options,USD,SLV 20JUN25 30 C,"2025-04-23, 15:11:26",1,1.9,-190,-1.05725,191.05725,0,O,,,,
218,Data,trades__01,Order,Equity and Index Options,USD,SLV 20JUN25 30 C,"2025-04-24, 09:46:37",1,1.65,-165,-1.05725,166.05725,0,O,,,,
219,Data,trades__01,Order,Equity and Index Options,USD,SLV 20JUN25 30 C,"2025-04-24, 10:31:07",5,1.74,-870,-3.23625,873.23625,0,O;P,,,,
220,Data,trades__01,Order,Equity and Index Options,USD,SLV 20JUN25 30 C,"2025-04-24, 14:48:47",5,1.78,-890,-3.53625,893.53625,0,O;P,,,,
221,Data,trades__01,Order,Equity and Index Options,USD,SLV 20JUN25 30 C,"2025-06-20, 12:37:15",-11,2.67,2937,-4.07814,-1945.17975,987.74211,C,,,,
